NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07097987,Evaluation of the Efficacy of the Composite WM Formula in Promoting GLP-1 Secretion,https://clinicaltrials.gov/study/NCT07097987,NOT_YET_RECRUITING,Obesity,DIETARY_SUPPLEMENT: WM formula Group|OTHER: Control group,"TCI Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-31,2025-11-30,2025-12-31,"TCI Co., Ltd., Taipei, Taiwan"
NCT07097974,Evaluation of the Efficacy of the Composite WM Formula in Body Weight Change,https://clinicaltrials.gov/study/NCT07097974,NOT_YET_RECRUITING,Obesity,DIETARY_SUPPLEMENT: WM formula liquid drink|DIETARY_SUPPLEMENT: Placebo,"TCI Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-31,2025-11-30,2025-12-31,"TCI Co., Ltd., Taipei, Taiwan"
NCT07097961,Paediatric Post-TB Pulmonary Rehab Study,https://clinicaltrials.gov/study/NCT07097961,NOT_YET_RECRUITING,Tuberculosis in Children|Chronic Lung Disease|Post Tuberculosis,BEHAVIORAL: Pulmonary Rehabilitation,University of Iowa,MU-JHU CARE,ALL,CHILD,INTERVENTIONAL,2025-07-23,2026-02-23,2026-02-23,
NCT07097948,"Toripalimab Combined With Chemotherapy as Adjuvant Therapy for Incidental Small Cell Lung Cancer After Radical Resection of Lung Cancer: A Single-Center, Randomized Controlled Clinical Study Protocol Number: LungMate-033",https://clinicaltrials.gov/study/NCT07097948,NOT_YET_RECRUITING,Postoperative Incidental Small Cell Lung Cancer|Toripalimab Adjuvant Therapy Evaluation,DRUG: Etoposide|DRUG: Platinum|DRUG: Toripalimab,"Shanghai Pulmonary Hospital, Shanghai, China",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2030-07,2030-07,"Shanghai Pulmonary Hospital, Shanghai, 200433, China"
NCT07097935,Study of HS-10516 Combination Therapy in Patients With Advanced Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT07097935,RECRUITING,Advanced Clear Cell Renal Cell Carcinoma,DRUG: HS-10516 + Lenvatinib,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-10,2027-07-10,2028-07-10,"Beijing Cancer Hospital, Beijing, Beijing, 100142, China"
NCT07097922,Compare the Clinical Efficacy of 3% Diquafosol and 0.1% Hyaluronic Acid in Patients With Dry Eye After LASIK,https://clinicaltrials.gov/study/NCT07097922,NOT_YET_RECRUITING,Dry Eye,DRUG: 3% Diquafosol Sodium Eye Drops|DRUG: 0.1% hyaluronic acid,He Eye Hospital,,ALL,ADULT,INTERVENTIONAL,2025-08-01,2026-05-01,2026-05-01,
NCT07097909,Efficacy and Safety of LLM-Based CBT for Tinnitus,https://clinicaltrials.gov/study/NCT07097909,NOT_YET_RECRUITING,Tinnitus,OTHER: LLM-based CBT,Eye & ENT Hospital of Fudan University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2027-08-01,2027-08-01,"Fudan University Eye Ear Nose and Throat Hospital, Otorhinolaryngology Department, Shanghai, Shanghai, 200031, China"
NCT07097896,Endobronchial Silicone Valve for Patients With Emphysema,https://clinicaltrials.gov/study/NCT07097896,NOT_YET_RECRUITING,Emphysema,DEVICE: ESV|DEVICE: EBV,China-Japan Friendship Hospital,"Beijing Cardiotech Medical Technology CO., LTD",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2027-07,2027-07,"China-Japan Friendship Hospital, Beijing, Beijing, 100029, China"
NCT07097883,Impact of Previous Open Renal Surgery on Percutaneous Nephrolithotomy Complications,https://clinicaltrials.gov/study/NCT07097883,COMPLETED,Open Renal Surgery|Percutaneous Nephrolithotomy|Complications,PROCEDURE: Percutaneous Nephrolithotomy,Sohag University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2017-01-01,2020-08-01,2020-08-01,"Sohag University, Sohag, 82511, Egypt"
NCT07097870,Predictors of HCC in Post-HCV Cirrhotic Patients After SVR,https://clinicaltrials.gov/study/NCT07097870,NOT_YET_RECRUITING,HCC - Hepatocellular Carcinoma,,Sohag University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07,2025-09,2025-11,"Faculty of Medicine, Sohag Univesity, Sohag, Egypt"
NCT07097857,Assessment of Revascularization in Plantar Foot of Diabetic Patients Pre and Post Angioplasty Using Spatial Frequency Domain Imaging,https://clinicaltrials.gov/study/NCT07097857,RECRUITING,Peripheral Arterial Disease(PAD)|Imaging Evaluation,OTHER: SFDI,Singapore General Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-10-02,2025-12,2025-12,"Singapore General Hospital, Singapore, SG, 169856, Singapore"
NCT07097844,A Comparison of the Efficacy of Sacral Erector Spinae Plane Block and Penile Block in Circumcision Surgery,https://clinicaltrials.gov/study/NCT07097844,NOT_YET_RECRUITING,Elective Circumcision Surgery,DRUG: 0.8 mL/kg of 0.25% bupivacaine,Siirt Training and Research Hospital,,ALL,CHILD,INTERVENTIONAL,2025-08-15,2026-01-01,2026-02-01,
NCT07097831,A Clinical Trial of HRS-1301 on the Pharmacokinetics of Rosuvastatin Calcium Tablets in Healthy Subjects,https://clinicaltrials.gov/study/NCT07097831,NOT_YET_RECRUITING,Hyperlipidemia,DRUG: HRS-1301 Tablets|DRUG: Rosuvastatin Calcium Tablets,"Shandong Suncadia Medicine Co., Ltd.",,ALL,ADULT,INTERVENTIONAL,2025-08,2025-09,2025-09,"The Second Affiliated Hospital of Soochow University, Suzhou, Jiangsu, 215004, China"
NCT07097818,Efficacy of Glycemic Improvement Project (GLITTER Study) in Type 1 Diabetes-GLITTER Study 2,https://clinicaltrials.gov/study/NCT07097818,RECRUITING,Type 1 Diabetes,"BEHAVIORAL: T1D team, structured education, peer support , and diabetes technologies|BEHAVIORAL: Routine Management",Second Xiangya Hospital of Central South University,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2027-03-01,2027-04-01,"Department of Endocrinology and Metabolism, Peking University People's Hospital, Beijing, Beijing, China|Department of Endocrinology, Quanzhou First Hospital Affiliated to Fujian Medical University, Quanzhou, Fujian, China|Department of Endocrinology, Shenzhen Second People's Hospital, The First Affiliated Hospital of Shenzhen University, Shenzhen, Guangdong, China|Second Department of Endocrinology and Metabolism, Tangshan Gongren Hospital, Tangshan, Hebei, China|Endocrinology and Metabolism Center, The First Affiliated Hospital, and College of Clinical Medicine of Henan University of Science and Technology, Luoyang, Henan, 471003, China|Department of Endocrinology, Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China|Institute of Metabolism and Endocrinology, Second Xiangya Hospital of Centra South University, Changsha, Hunan, 410011, China|Department of Endocrinology and Metabolism, Institute of Endocrinology, The First Affiliated Hospital of China Medical University, Shenyang, Liaoning, China|Department of Endocrinology and Metabolism, Laboratory of Diabetes and metabolism research, West China Hospital, Sichuan University, Chengdu, Sichuan, China|Department of Endocrinology, Children's Hospital of Zhejiang University School of Medicine, National Clinical Research Center for Child Health, Hangzhou, Zhejiang, China"
NCT07097805,"Glycemic Improvement With Team, Technology, Education and Peer Resources in Type 1 Diabetes-GLITTER Study",https://clinicaltrials.gov/study/NCT07097805,RECRUITING,Type 1 Diabetes (T1D),BEHAVIORAL: GLITTER comprehensive management,Second Xiangya Hospital of Central South University,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-01-01,2027-12-31,2028-03-01,"Department of Endocrinology and Metabolism, Peking University People's Hospital, Beijing, Beijing, China|Department of Endocrinology, Beijing Tongren Hospital, Capital Medical University, Beijing, Beijing, China|Department of Endocrinology and Metabolism, the Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China|Department of Endocrinology, Shenzhen Second People's Hospital, The First Affiliated Hospital of Shenzhen University, Shenzhen, Guangdong, China|Endocrinology and Metabolism Center, The First Affiliated Hospital, and College of Clinical Medicine of Henan University of Science and Technology, Luoyang, Henan, China|Institute of Metabolism and Endocrinology, Second Xiangya Hospital of Centra South University, Changsha, Hunan, 410011, China|Department of Endocrinology, The First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, 210029, China|Department of Endocrinology and Metabolism, Institute of Endocrinology, The First Affiliated Hospital of China Medical University, Shenyang, Liaoning, China|Department of Endocrinology and Metabolism, Laboratory of Diabetes and metabolism research, West China Hospital, Sichuan University, Chengdu, Sichuan, China|Department of Endocrinology, Children's Hospital of Zhejiang University School of Medicine, National Clinical Research Center for Child Health, Hangzhou, Zhejiang, China"
NCT07097792,Concussion Recovery and Support Program,https://clinicaltrials.gov/study/NCT07097792,NOT_YET_RECRUITING,Brain Concussion|Mild Traumatic Brain Injury|Headache,BEHAVIORAL: CRISP (Concussion Recovery and Support Program),Seattle Children's Hospital,,ALL,ADULT,INTERVENTIONAL,2025-08-01,2026-07-21,2026-07-31,"Seattle Children's Research Institute, Seattle, Washington, 98104, United States|University of Washington, Seattle, Washington, 98105, United States"
NCT07097779,"Helping Stroke Patients With Movement Using Photos, Videos, and Pictograms",https://clinicaltrials.gov/study/NCT07097779,NOT_YET_RECRUITING,Stroke,"BEHAVIORAL: Visual Aids(Photos, Videos, and Pictograms)",Jaegyeong Lee,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2026-01,2026-03,"Ilsan Central Rehabilitation Hospital, Goyang-si, Korea, Republic of"
NCT07097766,The Effect of Health Belief Model-Based Education and Motivational Interviewing on HPV (Human Papilloma Virus) Knowledge and Vaccine Awareness in Women,https://clinicaltrials.gov/study/NCT07097766,NOT_YET_RECRUITING,Human Papillomavirus Infection,"BEHAVIORAL: ""HBM-Based Education and Motivational Interviewing""",Saglik Bilimleri Universitesi,,FEMALE,ADULT,INTERVENTIONAL,2025-08-01,2025-09-01,2025-12-01,"Zeynep Kamil Kadın ve Çocuk Hastalıkları Eğitim ve Araştırma Hastanesi, Üsküdar, İstanbul, 34000, Turkey"
NCT07097753,Comparison of MIPPED-C and Surgical Necrosectomy in Pancreatic Necrosis Outcomes,https://clinicaltrials.gov/study/NCT07097753,ENROLLING_BY_INVITATION,Acute Pancreatitis (AP)|Acute Pancreatitis With Infected Necrosis,,Ruijin Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-06-01,2025-12-01,2026-06-01,"Emergency Department of Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China"
NCT07097740,Early Feasibility Study of Surgical Implantation of a Polymer Prosthetic Mitral and Aortic Valve,https://clinicaltrials.gov/study/NCT07097740,RECRUITING,AORTIC VALVE DISEASES|Mitral Valve Disease|Aortic Stenosis|Aortic Regurgitation|Mitral Stenosis|Mitral Regurgitation,DEVICE: Polymer Prosthetic Heart Valve,"Mitrassist Lifesciences Limited Co., Ltd.",Shanghai Zhongshan Hospital,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-27,2026-06,2027-06,"Department of Cardiovascular Surgery, Zhongshan Hospital, Fudan University, Shanghai, Shanghai, 200000, China"
NCT07097727,Evaluation of the Role of Acetyl Cysteine in Ventilator Associated Pneumonia by Carbapenem Resistance Klebsiella,https://clinicaltrials.gov/study/NCT07097727,COMPLETED,Ventilator Associated Pneumonia ( VAP)|Mechanical Ventilation,DRUG: acetyl cysteine 600 mg|DRUG: antibiotics and saline.,Tanta University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-10-30,2024-09-30,2024-10-30,"Tanta University, Tanta, Gharbia, Egypt"
NCT07097714,Evaluating the Clinical Efficacy of Collagen Scaffold (Ossix VOLUMAX) With Piezo-Surgical Decortication in Enhancing Orthodontic Treatment Outcomes: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07097714,RECRUITING,Dental Crowding|Gingival Recession|Thin Phenotype,PROCEDURE: Piezocision with ribose cross-linked collagen matrix (Ossix® Volumax)|PROCEDURE: control,NMSI DENTMASTER,,ALL,ADULT,INTERVENTIONAL,2024-06-25,2025-09-25,2026-09-25,"Dental Clinic ""Dental-Service"" - Department of Oral and Maxillofacial Surgery, 77 S. Vanzetti Street, Novosibirsk, 630000, Russian Federation"
NCT07097701,"An Open-Label, Randomized, Cross-Over Study to Investigate the Efficacy and Safety of Mexiletine PR Compared to Mexiletine IR",https://clinicaltrials.gov/study/NCT07097701,NOT_YET_RECRUITING,Myotonia,DRUG: Granular powder in unit dose foil-lined sachet Mexiletine (PR)|DRUG: Oral Capsule Mexiletine (IR),Lupin Ltd.,Lupin Atlantis Holdings S.A.,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-30,2026-07-08,2026-10-04,
NCT07097688,Regenerative Endodontic Treatment Using Sodium Hexametaphosphate (SHMP) For Necrotic Immature Permanent Anterior Teeth,https://clinicaltrials.gov/study/NCT07097688,ACTIVE_NOT_RECRUITING,Regenerative Inflammation,"BIOLOGICAL: Sodium Hexametaphosphate (SHMP) Inorganic polyphosphates (poly[P]) are linear polymers of orthophosphate (Pi) residues linked by energy-rich phosphoranhydride bonds, Ithas multiple physiological funct",Ahmad Elheeny,,ALL,CHILD,INTERVENTIONAL,2025-06-29,2025-12-01,2026-04-01,"Faculty of Dentistry, Minya, Egypt"
NCT07097675,The Change in Psychoemotional State of Individuals With Dementia Syndrome Applying Art Therapy,https://clinicaltrials.gov/study/NCT07097675,NOT_YET_RECRUITING,Dementia,BEHAVIORAL: Art Therapy,Lithuanian University of Health Sciences,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2027-12-01,2027-12-01,
NCT07097662,Evaluation of the Effectiveness of Oxygen Reserve Index Monitoring During Pre-oxygenation in Obese Patients,https://clinicaltrials.gov/study/NCT07097662,COMPLETED,Obesity,,Irem Caner,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-02-01,2024-07-31,2025-01-01,"Kocaeli University, Kocaeli, 41380, Turkey"
NCT07097649,"Effects of Textured Insoles on Balance, Physical Performance, and Plantar Pressure in Older Adults With Knee Osteoarthritis",https://clinicaltrials.gov/study/NCT07097649,NOT_YET_RECRUITING,Knee Osteoarthritis,DEVICE: Textured lateral wedge insole|DEVICE: Use of lateral wedge flat insole,Esra Nur Turkmen,,ALL,OLDER_ADULT,INTERVENTIONAL,2025-08-01,2025-10-01,2025-10-01,
NCT07097636,Effect of Video Education on Anxiety and Satisfaction Levels of Parents of Children Undergoing Urodynamic Studies,https://clinicaltrials.gov/study/NCT07097636,COMPLETED,Anxiety|Satisfaction,OTHER: Video education|OTHER: No intervention,Eskisehir Osmangazi University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-07-05,2024-01-05,2024-01-05,"Bursa Yüksek İhtisas Training and Research Hospital, Bursa, Turkey"
NCT07097623,Optimal Acute Adult Psychiatric In-patient Care in Hong Kong,https://clinicaltrials.gov/study/NCT07097623,NOT_YET_RECRUITING,Psychiatric Hospitalization,OTHER: respond to 3 rounds of online Delphi surveys|OTHER: attend an individual semi-structured interview,The Hong Kong Polytechnic University,Nethersole Institute of Continuing Holistic Health Education (NICHE),ALL,ADULT,OBSERVATIONAL,2025-08-04,2026-08-31,2026-08-31,
NCT07097610,The Effect of Mosaic Puzzle Game on Nomophobia in Adolescents,https://clinicaltrials.gov/study/NCT07097610,COMPLETED,Nomophobia|Puzzle Activity|Child|Dependence|Smart Phone Addiction,OTHER: Mosaic Puzzle Intervention,Rabia Nur TEKİ KESKİN,Pamukkale University scientific research project department,ALL,CHILD,INTERVENTIONAL,2025-02-15,2025-03-15,2025-05-25,"Pamukkale University, Denizli, Kınıklı, 20160, Turkey"
NCT07097597,Validation of a Snoring App Against Commercially Available Applications and PSG,https://clinicaltrials.gov/study/NCT07097597,NOT_YET_RECRUITING,Snoring|Obstructive Sleep Apnea (OSA),DEVICE: Comparison 1: New Snoring Application|DEVICE: Comparison 2: Commercially Available Snoring Application|DEVICE: Comparison 3: Polysomnography,Windsor Sleep Disorders Clinic,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09-01,2026-01-31,2026-01-31,
NCT07097584,Effect of Small Double-lumen Tube on the Intubation Time of Thoracoscopic Pulmonectomy in Asian Women,https://clinicaltrials.gov/study/NCT07097584,NOT_YET_RECRUITING,Women|Asian|Thoracic Surgery With One-lung Ventilation,DEVICE: Selecting the size of a Left Double-lumen endobronchialtube one size smaller than the traditional method|DEVICE: Selecting the size of a Left Double-lumen endobronchialtube according to traditional methods,Zhejiang Cancer Hospital,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-28,2025-12-31,2025-12-31,
NCT07097571,Suprascapular Nerve Block in the Management of Patients Diagnosed With Adhesive Capsulitis,https://clinicaltrials.gov/study/NCT07097571,ACTIVE_NOT_RECRUITING,Adhesive Capsulitis of the Shoulder|Suprascapular Nerve Block,PROCEDURE: Glenohumeral Joint Injection and Suprascapular Nerve Block,Istanbul University - Cerrahpasa,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-02-26,2026-07-26,2026-08-26,"Istanbul University - Cerrahpasa, Istanbul, Turkey"
NCT07097558,Mandala and Music for PMS Relief,https://clinicaltrials.gov/study/NCT07097558,NOT_YET_RECRUITING,Mandala Coloring|Music Listening|Premenstrual Syndrome-PMS,OTHER: Mandala coloring group|OTHER: Music listening group|OTHER: control group,Istanbul University - Cerrahpasa,The Scientific and Technological Research Council of Turkey,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2026-03-31,2026-05-01,"Istanbul University- Cerrahpasa, Istanbul, Avcilar, Turkey"
NCT07097545,Change in Social Media Use and Well-being Among College Students Receiving a Two-week Exercise or Mindfulness Intervention,https://clinicaltrials.gov/study/NCT07097545,NOT_YET_RECRUITING,Social Media Addiction|Anxiety|Depression Disorder|Wellbeing,BEHAVIORAL: Mindfulness|BEHAVIORAL: Social Media Reduction|BEHAVIORAL: Exercise,Johns Hopkins Bloomberg School of Public Health,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2025-12,2026-01,"Johns Hopkins University, Baltimore, Maryland, 21218, United States"
NCT07097532,Cutaneous Silent Period-Based Comparison of DRG-PRF and TFESI in Lumbar Radicular Pain,https://clinicaltrials.gov/study/NCT07097532,ACTIVE_NOT_RECRUITING,Lumbar Radicular Pain|Spinal|Inhibition,PROCEDURE: Radiofrequency|PROCEDURE: Transforaminal Epidural Steroid Injections,ahmet başarı,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-08,2025-08-25,2025-08-25,"Kayseri City Hospital, Kayseri, Seker, 38080, Turkey"
NCT07097519,"Effects of Virtual Reality on Anxiety, Stress, and Work Performance in ICU Nurses",https://clinicaltrials.gov/study/NCT07097519,COMPLETED,Stress|Performance|Immersive Virtual Reality|Intensive Care (ICU)|Nurse,OTHER: Immersive Virtual Reality (IVR),Istanbul University - Cerrahpasa,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-01,2025-05-31,2025-05-31,"Oncology Hospital, Ankara, Yenimahalle, Turkey"
NCT07097506,Effect of Ketone Esters on Liver Fat Content and Metabolic Function,https://clinicaltrials.gov/study/NCT07097506,NOT_YET_RECRUITING,MASLD - Metabolic Dysfunction-Associated Steatotic Liver Disease|Obesity,"DRUG: bis-octanoyl (R)-1,3-butanediol (C8 ketone di-ester)|OTHER: Placebo",Washington University School of Medicine,Children's Discovery Institute,ALL,ADULT,INTERVENTIONAL,2025-08-01,2027-07-31,2027-12-31,
NCT07097493,Liposomal Bupivacaine vs Perineural Adjuvants in Adductor Canalf and iPACK Blocks in Total Knee Arthroplasty,https://clinicaltrials.gov/study/NCT07097493,NOT_YET_RECRUITING,"Knee Arthroplasty, Total","DRUG: Liposomal Bupivacaine|DRUG: Bupivacaine, Clonidine, Epinephrine, Buprenorphine and Dexamethasone (BPV-CEBD) Combination",Wake Forest University Health Sciences,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-12-01,2026-12-31,2026-12-31,"Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina, 27157, United States"
